MONTHLY SUMMARY
Month,Shipping,$0.50 per Pick,$2 Order Fee,$2.00 Order Fee,Packaging,Master Carton on Shelf Storage,Medium Bin Storage,Pallet Storage,Small Bin Storage,Account Management Fee,Ad-hoc,Total
2026-03-27,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420726359261290400217415255557,,,8.22
2026-03-27,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500258399,,,4.66
2026-03-27,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500258405,,,5.68
2026-03-27,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420907239261290400217415265624,,,6.14
2026-03-27,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500258412,,,5.86
2026-03-27,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500258429,,,5.68
2026-03-27,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500258436,,,4.88
2026-03-28,,,2026-03,charge,Packaging,#1 Bubble Mailer,9214490374015500236724,,1,0.36
2026-03-28,,,2026-03,charge,Packaging,4x4x4,9214490374015500236687,,1,0.36
2026-03-28,,,2026-03,charge,Packaging,#000 Bubble Mailer,9214490374015500236748,,1,0.18
2026-03-28,,,2026-03,charge,Packaging,#1 Bubble Mailer,9214490374015500236762,,1,0.36
2026-03-28,,,2026-03,charge,Packaging,#000 Bubble Mailer,9214490374015500236755,,1,0.18
2026-03-28,,,2026-03,charge,Packaging,#1 Bubble Mailer,9214490374015500236786,,1,0.36
2026-03-28,,,2026-03,charge,Packaging,#0 Bubble Mailer,9214490374015500236809,,1,0.30
2026-03-28,,,2026-03,charge,Packaging,#0 Bubble Mailer,9214490374015500236939,,1,0.30
2026-03-28,,,2026-03,charge,Packaging,#1 Bubble Mailer,9214490374015500236793,,1,0.36
2026-03-28,,,2026-03,charge,Packaging,#0 Bubble Mailer,9214490374015500236823,,1,0.30
2026-03-28,,,2026-03,charge,Packaging,#1 Bubble Mailer,9214490374015500236946,,1,0.36
2026-03-28,,,2026-03,charge,Packaging,#1 Bubble Mailer,9214490374015500236953,,1,0.36
2026-03-28,,,2026-03,charge,Packaging,8x6x4,1Z142A5BYW38669013,,1,0.62
2026-03-28,,,2026-03,charge,Packaging,#0 Bubble Mailer,9214490374015500239510,,1,0.30
2026-03-28,,,2026-03,charge,Packaging,#0 Bubble Mailer,9214490374015500239503,,1,0.30
2026-03-28,,,2026-03,charge,Packaging,#0 Bubble Mailer,420164069261290400217415285202,,1,0.30
2026-03-28,,,2026-03,charge,Packaging,4x4x8,1Z142A5BYW07778203,,1,0.85
2026-03-28,,,2026-03,charge,Packaging,#0 Bubble Mailer,9214490374015500241483,,1,0.30
2026-03-28,,,2026-03,charge,Packaging,#0 Bubble Mailer,1Z142A5BYW37993067,,1,0.30
2026-03-28,,,2026-03,charge,Packaging,#0 Bubble Mailer,9214490374015500241490,,1,0.30
2026-03-28,,,2026-03,charge,Packaging,#000 Bubble Mailer,9214490374015500243111,,1,0.18
2026-03-28,,,2026-03,charge,Packaging,#000 Bubble Mailer,9214490374015500243753,,1,0.18
2026-03-28,,,2026-03,charge,Packaging,#1 Bubble Mailer,9214490374015500244231,,1,0.36
2026-03-28,,,2026-03,charge,Packaging,4x4x8,1Z142A5BYW26852364,,1,0.85
2026-03-28,,,2026-03,charge,Packaging,#000 Bubble Mailer,9214490374015500244224,,1,0.18
